ID,Risk category,Risk,Policy idea,Policy idea description,Jurisdiction,Title,Author,Link,Year
1,Biology,Pandemics,Develop international severe pandemic scenario development and testing,"Scenario plans for very severe engineered pandemics be established at the international level, and that these plans be tested in exercises involving a range of international actors.",International,Existential Risk Diplomacy and Governance,"Farquhar, Halstead, Cotton-Barratt, Schubert, Belfield, Snyder-Beattie",http://globalprioritiesproject.org/2017/02/existential-risk-diplomacy-and-governance/,2017
2,Biology,Pandemics,Task one body with ensuring preparedness for the full range of biological threats the UK faces.,"UK government should establish a new National Centre for Biosecurity would be tasked with prevention of, and preparedness for, future large-scale and high-priority biological threats faced by the UK, regardless of their origin.
The Centre's tasks would be:

1. Preventing and countering the threat of biological weapons from both state and non-state actors, treating them as a comparable security challenge to nuclear weapons
2. Developing effective defences to biological threats, helping bring horizon technologies (especially pathogen-blind diagnostics) to technical readiness
3. Promoting responsible biotechnology development across the world
4. Developing talent and collaboration across the UK biosecurity community, cementing the UK as a world leader in safe and responsible science and innovation.",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
3,Biology,Pandemics,Amend the Biological Weapons Convention.,"Bring the Biological Weapons Convention into line with the Chemical Weapons Convention: taking its budget from $1.4 million up to $80 million, increasing its staff commensurately, and granting the power to investigate suspected breaches.",National,The Precipice,"Ord, Toby",https://theprecipice.com/,2020
19,Weapons,Nuclear weapons,Cancel Launch on Warning,"Take US ICBMs off hair-trigger alert (officially called Launch on
Warning).",National,The Precipice,"Ord, Toby",https://theprecipice.com/,2020
34,Biology,Pandemics,Regulate DNA synthesis so that all DNA synthesis is screened for dangerous pathogens.,"Ensure that all DNA synthesis is screened for dangerous pathogens. If full coverage can’t be achieved through self-regulation by synthesis companies, then some form of international regulation will be needed.",All,The Precipice,"Ord, Toby",https://theprecipice.com/,2020
37,Biology,Synthetic biology,Regulate DNA synthesis companies,"Government should require gene synthesis companies to adhere to biosecurity guidelines for screening DNA orders for dangerous pathogens, such as those released by the Secure DNA Project.",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
42,Biology,Pandemics,"Develop a national plan for responding to a severe pandemic, regardless of the cause","Develop a plan that’s pathogen agnostic, generic enough that it can be tailored to any pathogen outbreak, its transmissibility, the mode of transmission, speed, and incubation period, including a system of containment outside medical facilities (such as a system of home testing and testing in care facilities), and under different scenarios",All,Dr Cassidy Nelson on the twelve best ways to stop the next pandemic (and limit COVID-19),Cassidy Nelson,https://80000hours.org/podcast/episodes/cassidy-nelson-12-ways-to-stop-pandemics/#policy-idea-1-a-drastic-change-to-diagnostic-testing-03461,2020
54,General,General,Ensure that risk management improves globally.,"The UK should take the lead in ensuring that risk management improves globally.
The UK could do this by: Encouraging international long-term commitments to spend a target percentage of GDP on risk management, so that plans to address risks are not gradually cut between catastrophes; Encouraging countries to run effective national risk offices or put in place Chief Risk Officers; Convening a global network of independent national risk officers to collectively address global risks; Sharing information and best practices. The UK could lead a global project to learn the lessons of COVID-19.",National,Risk management in the UK: What can we learn from COVID-19 and are we prepared for the next disaster?,"Sam Hilton, Caroline Baylon",https://www.cser.ac.uk/media/uploads/files/Risk_Management_in_the_UK_Final1.pdf,2020
55,General,General,Ensure the National Security Risk Assessment captures high-uncertainty risks.,"Ensure the National Security Risk Assessment captures high-uncertainty risks, so as to close gaps in the risk assessment process. This can be achieved by including low-probability and emerging risks in the NSRA, by looking beyond the recent past, by using techniques such as red teaming and tabletop exercises, and by greater use of a vulnerability based approach to risk assessment.",National,Risk management in the UK: What can we learn from COVID-19 and are we prepared for the next disaster?,"Sam Hilton, Caroline Baylon",https://www.cser.ac.uk/media/uploads/files/Risk_Management_in_the_UK_Final1.pdf,2020
56,General,General,Improve National Security Risk Assesment categorisation.,"Improve how the National Security Risk Assessment categorises, compares and communicates risks, so that policy makers have a clear understanding of the risks. In particular consider moving from reasonable worst case scenarios to pre- and post-mitigation worst case scenarios and finding additional ways to highlight uncertainties.",National,Risk management in the UK: What can we learn from COVID-19 and are we prepared for the next disaster?,"Sam Hilton, Caroline Baylon",https://www.cser.ac.uk/media/uploads/files/Risk_Management_in_the_UK_Final1.pdf,2020
58,General,General,Establish a Government Chief Risk Officer (CRO) and an associated unit.,"Establish a Government Chief Risk Officer (CRO) and an associated unit to address these challenges: limited centralised oversight of or support for departmental risk planners; no central accountability mechanism to ensure that departments draw up adequate plans to address risks; no pool of expertise available to assist departments in developing highquality risk plans; civil servants, across all levels, need to have skills and incentives to understand and work with risk and uncertainty; greater expenditure on preparedness is needed.",National,Risk management in the UK: What can we learn from COVID-19 and are we prepared for the next disaster?,"Sam Hilton, Caroline Baylon",https://www.cser.ac.uk/media/uploads/files/Risk_Management_in_the_UK_Final1.pdf,2020
60,Technology,Artificial intelligence,"Advocate internationally for the norm of not incorporating AI systems into nuclear command, control, communications.","Once UK commits to refrain from incorporating AI systems into NC3, it should advocate for this policy norm internationally, for example, by establishing a multilateral agreement to this effect.",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
62,Environment,Geoengineering,Develop international regulation of Solar Radiation Management research,"Members of the international governance community should increase efforts to build awareness of the policy issues raised by SRM, with a view to eventually developing instruments for the appropriate governance and regulation of SRM research.",International,Existential Risk Diplomacy and Governance,"Farquhar, Halstead, Cotton-Barratt, Schubert, Belfield, Snyder-Beattie",http://globalprioritiesproject.org/2017/02/existential-risk-diplomacy-and-governance/,2017
64,General,General,Develop political representation for Future Generations,"At the level of the United Nations as a whole, consider the option of a High Commissioner for Future Generations. At the national level, assign ministerial positions representing future generations, form a committee of parliamentarians responsible for the future, create a future generations commissioner, or embed a commitment to the rights of future generations in the constitution",All,Existential Risk Diplomacy and Governance,"Farquhar, Halstead, Cotton-Barratt, Schubert, Belfield, Snyder-Beattie",http://globalprioritiesproject.org/2017/02/existential-risk-diplomacy-and-governance/,2017
65,General,General,Create a UN Office of Existential Risk Reduction,"Creating a targeted institution within the UN System which concerns itself chiefly with existential risk. Such an office could support investigation of existential risks, connect ongoing research with the parts of the UN system which help coordinate between states engaged in risky activities, and swiftly call the attention of the UN System to existential risks if they arose unexpectedly.",International,Existential Risk Diplomacy and Governance,"Farquhar, Halstead, Cotton-Barratt, Schubert, Belfield, Snyder-Beattie",http://globalprioritiesproject.org/2017/02/existential-risk-diplomacy-and-governance/,2017
66,General,General,Appoint a senior government position responsible for registering and responding to existential risks that can be realistically foreseen in the next 20 years,Each major world power should have an appointed senior government position responsible for registering and responding to existential risks that can be realistically foreseen in the next 20 years.,All,The Precipice,"Ord, Toby",https://theprecipice.com/,2020
67,General,General,"Improve extreme risk assessment and ownership across Government by updating the National Security Risk Assessment, applying the ‘three lines of defence’ model to risk management and installing a Chief Risk Officer","Government should improve risk management by implementing these three lines of defense:
1. Strengthen departments’ ability to manage extreme risks by building up Risk Ownership Units of between two and six civil servants. These would be housed in relevant departments. Ministers would continue to be held accountable for the risks designated to their departments.
2. Create a new Government Office of Risk Management, headed by a Chief Risk Officer
3. Establish an independent National Extreme Risks Institute.",National,Future Proof: The Oportunity to Transform the UK's Resilience to Extreme Risks,"Toby Ord, Angus Mercer, Sophie Dannreuther",https://drive.google.com/file/d/1LHn3nzxF2p68SfhwiPLCb5FMaMLq1dk6/view,2021
